"","image_path","xmin","ymin","xmax","ymax","label"
"2","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478296.276399014,302774.15929262,478305.209698199,302784.310768966,"Tree"
"3","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478458.852271155,302883.343364672,478469.661712903,302894.15280642,"Tree"
"4","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478491.080421552,302869.331125369,478510.697556576,302890.950008865,"Tree"
"5","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478470.062062598,302854.718361524,478482.472903123,302865.527803272,"Tree"
"6","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478471.062936834,302863.325879953,478480.671329499,302871.332873841,"Tree"
"7","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478478.869755874,302837.102974972,478490.479897011,302850.714864581,"Tree"
"8","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478477.668706791,302848.112591567,478488.478148539,302856.119585455,"Tree"
"9","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478512.899479895,302827.694757154,478531.315565836,302847.712241873,"Tree"
"10","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478506.694059632,302819.087238725,478515.902102603,302828.295281696,"Tree"
"11","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478491.680946094,302821.489336892,478501.689688453,302830.697379862,"Tree"
"12","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478488.678323386,302827.694757154,478495.083918496,302835.701751042,"Tree"
"13","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478494.283219107,302814.082867546,478502.290212994,302822.490211128,"Tree"
"14","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478426.804396779,302768.314871754,478440.440456635,302780.459487563,"Tree"
"15","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478420.305962004,302763.840539614,478429.893816591,302771.297759848,"Tree"
"16","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478416.779072913,302757.606424699,478428.893381989,302766.796590205,"Tree"
"17","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478318.914532982,302638.855611514,478335.400937131,302653.164566058,"Tree"
